ID,company,total_layoffs,impacted_workforce_percentage,reported_date,industry,headquarter_location,sources,status,additional_notes
42,Stord,59,8,6/3/2022,Logistics,Atlanta,Business Insider,Private,
43,Niantic,85,8,6/29/2022,"Video Games, AR",San Francisco,Bloomberg,Private,
44,Picsart,90,8,5/17/2022,Media/entertainment,Miami,The Information,Private,
45,Jellysmack,Unclear,8,6/9/2022,Media/Entertainment,New York,Business Insider,Private,
46,Remote,100,9,7/6/2022,HR Tech,San Francisco,Publico,Private,
47,Vox Media,169,9,1/20/2023,"Digital media, journalism","Washington, DC",CNN,Private,
48,Yotpo,70,9,11/16/2022,"marketing, media",New York,Calcalistech,Private,
49,Aura,70,9,6/24/2022,Cybersecurity,Boston,Bank Info Security,Private,
50,Komodo Health,78,9,12/13/2022,"Health care, predictive analytics",San Francisco,TechCrunch,Private,
51,Jellyfish US,Unclear,9,1/13/2023,"engineering, software",Boston,BostonInno,Private,
52,Khoros,120,10,10/21/2022,"SaaS, enterprise software",Austin,Austin Business News,Private,
53,Bonterra,140,10,1/13/2023,"social impact, finance",Distributed,The Nonprofit Times,Private,
54,Chargebee,142,10,11/2/2022,"Fintech, SaaS",San Francisco,TechCrunch,Private,
55,6sense,150,10,10/12/2022,"Artificial Intelligence, Machine Learning",San Francisco,MoneyControl,Private,
56,Relativity,150,10,12/7/2022,"Data science, enterprise",Chicago,Crain's Chicago,Private,
57,TIFIN,21,10,6/14/2022,FinTech,Boulder,Axios,Private,
58,Lusha,30,10,7/18/2022,Sales tech,New York,CTech,Private,
59,Aqua Security,65,10,12/5/2022,"SecOps, security","Burlington, MA",Calcalistech,Private,
60,Spin,78,10,9/30/2022,Transportation,San Francisco,TechCrunch,Private,
61,Verbit,80,10,7/5/2022,Natural Language Processing,New York,CTech,Private,
62,ZenLedger,Unclear,10,12/9/2022,"Blockchain, cryptocurrency","Bellevue, WA",Blockworks,Private,
63,Firework,Unclear,10,11/29/2022,"e-commerce, retail",San Francisco,The Information,Private,
64,Mythical Games,Unclear,10,11/4/2022,"Video games, blockchain",Los Angeles,Bloomberg,Private,
65,Apartment List,Unclear,10,8/31/2022,Proptech,San Francisco,CEO Matthew Woods,Private,
66,impact.com,Unclear,10,8/25/2022,Digital marketing,"Santa Barbara, CA",impact.com,Private,
67,80 Acres Farms,Unclear,10,1/18/2023,"indoor farming, agtech","Hamilton, OH",CincinnatiInno,Private,
68,98point6,Unclear,10,7/21/2022,Health Care,Seattle,GeekWire,Private,
69,Gemini,Unclear,10,6/2/2022,"Fintech, Crypto",New York,Bloomberg,Private,
70,Side,Unclear,10,6/1/2022,PropTech,San Francisco,Inman,Private,
71,Carta,200,10,1/11/2023,Fintech,San Francisco,TechCrunch,Private,
72,ConsenSys,100,11,1/10/2023,"Cryptocurrency, FinTech",New York,CoinDesk,Private,
73,Tipalti,123,11,1/11/2023,FinTech,San Mateo,Calcalistech,Private,
74,Brex,136,11,10/11/2022,Fintech,San Francisco,TechCrunch,Private,
75,Salsify,90,11,11/16/2022,"Cloud computing, e-commerce",Boston,Boston Business Journal,Private,
76,SADA,Unclear,11,11/8/2022,"Cloud computing, IT",Los Angeles,SADA CEO,Private,
77,Momentive,Unclear,11,10/14/2022,information technology,"Waterford, MI",TechCrunch,Private,
78,Automox,Unclear,11,4/18/2022,Security,Boulder,LinkedIn,Private,
79,Klarna,750,12,9/22/2022,Fintech,Stockholm,Sifted,Private,
80,JumpCloud,100,12,1/18/2023,"Cloud services, cybersecurity","Louisville, CO",JumpCloud,Private,
81,Chime,156,12,11/2/2022,Fintech,San Francisco,The Information,Private,
82,Embroker,30,12,10/25/2022,InsurTech,San Francisco,The Insurer,Private,
83,Divvy Homes,40,12,9/27/2022,PropTech,San Franicsco,The Information,Private,
84,Ethos Life,40,12,6/24/2022,InsurTech,San Francisco,Coverager,Private,
85,GoFundMe,94,12,10/26/2022,Crowdfunding,"Redwood City, CA",GoFundMe,Private,
86,Digital Currency Group,10,13,11/2/2022,Cryptocurrency,"Stamford, CT",Coindesk,Private,
87,Intercom,124,13,11/14/2022,"customer service, automation",San Franicsco,Silicon Republic,Private,
88,SundaySky,24,13,7/11/2022,Video Conferencing Software,New York,Globes,Private,"Layoffs affect employees in the U.S., Israel, and Japan. Layoffs affected around 13% of employees."
89,Chipper Cash,50,13,12/6/2022,"fintech, money transfer",San Francisco,TechCrunch,Private,
90,Udacity,55,13,10/11/2022,"edtech, artificial intelligence","Mountain View, CA",Udacity,Private,
91,Sourcepoint,7,13,6/2/2022,"Privacy Tech, Marketing Tech",New York,Crunchbase News reporting,Private,Company did not respond to a request to confirm details of layoffs. Layoffs affected around 13% of employees.
92,Thirty Madison,Unclear,13,8/18/2022,"health care, wellness",Greater New York area,Fierce Healthcare,Private,
93,Sendoso,100,14,6/6/2022,Marketing Automation,San Francisco,Business Insider,Private,
94,Malwarebytes,125,14,8/17/2022,"security, enterprise software",San Francisco,TechCrunch,Private,
95,Substack,13,14,6/29/2022,"Media, Content Creators",San Francisco,New York Times,Private,
96,Morning Brew,Unclear,14,11/17/2022,"Media, news",New York,Max Tani,Private,
97,Benitago Group,Unclear,14,11/4/2022,"e-commerce, retail",New York,TechCrunch,Private,
98,Juniper Square,Unclear,14,9/6/2022,Proptech,San Francisco,The Real Deal,Private,
99,Nayya,16,15,6/17/2022,"Employee Benefits, HR Tech",New York,Crunchbase News reporting,Private,
100,Verily,250,15,1/11/2023,"health care, data collection",San Francisco,The Information,Private,
101,CyCognito,30,15,12/8/2022,Cybersecurity,Palo Alto,Calcalistech,Private,
102,Zumper,45,15,6/16/2022,PropTech,San Francisco,The Real Deal,Private,
103,Polly,47,15,12/2/2022,"Insurtech, fintech","Williston, VT",VT Digger,Private,
104,Woven,5,15,8/16/2022,"Artificial intelligence, recruiting",Indianapolis,AdAge,Private,
105,The Mom Project,54,15,7/20/2022,Talent marketplace,Chicago,LinkedIn,Private,
106,SonderMind,Unclear,15,12/16/2022,telehealth,Denver,Denver Business Journal,Private,
107,Apollo,Unclear,15,12/15/2022,"developer APIs, enterprise software",San Francisco,Apollo,Private,
108,Code42,Unclear,15,11/7/2022,"Cybersecurity, enterprise software",Minneapolis,Star Tribune,Private,
109,Flowhub,Unclear,15,9/9/2022,Cannabis,Dever,Business Insider,Private,
110,Daily Harvest,Unclear,15,8/8/2022,"Food delivery, ecommerce",New York City,Fortune,Private,
111,Rock Content,Unclear,15,1/12/2023,"content marketing, advertising","Boca Raton, FL",Terra,Private,
112,Lattice,Unclear,15,1/12/2023,"Enterprise applications, HR",San Francisco,Lattice CEO Jack Altman,Private,
113,Citrix Systems,Unclear,15,1/10/2023,"Security, SaaS","Fort Lauderdale, FL",TechCrunch,Private,
114,WHOOP,Unclear,15,7/21/2022,Fitness,Boston,Front Office Sports,Private,
115,Papa,Unclear,15,7/14/2022,Elder Care,Miami,LinkedIn,Private,
116,Sundae,Unclear,15,6/28/2022,"PropTech, Real Estate",San Francisco,Real Trends,Private,
117,TruePill,Unclear,15,6/8/2022,Health Care,"Hayward, California",TruePill,Private,
118,Terminus,Unclear,15,5/27/2022,Marketing,Atlanta,LinkedIn,Private,
119,Outside Inc,Unclear,15,5/20/2022,Media/entertainment,Boulder,Denver Business Journal,Private,
120,Stream,20,15,6/30/2022,Communications Infrastructure,Boulder,Pragmatic Engineer,Private,
121,Carbon Health,450,16,1/6/2023,Health Care,San Francisco,Carbon Health CEO Eren Bali,Private,
122,Jam City,200,17,8/4/2022,"Mobile Apps, Gaming",Culver City,VentureBeat,Private,
123,Next Insurance,150,17,7/7/2022,InsurTech,Palo Alto,CTech,Private,
124,OwnBackup,170,17,11/15/2022,"SaaS, enterprise software","Englewood Cliffs, NJ",Calcalistech,Private,
125,Everlane,30,17,1/5/2023,"Fashion, e-commerce",San Francisco,The Information,Private,
126,Patreon,80,17,9/13/2022,Social media,San Francisco,The Information,Private,
127,Recharge,84,17,10/27/2022,Fintech,Los Angeles,Recharge CEO,Private,
128,Nextiva,Unclear,17,12/6/2022,Customer service,Phoenix,Channel Futures,Private,
129,Grove Collaborative,Unclear,17,3/29/2022,E-commerce,San Francisco,Retail Dive,Private,
130,Lithic,27,18,12/7/2022,Fintech,New York,Axios,Private,
131,SQream Technologies,30,18,7/6/2022,Data Analytics,New York,CTech,Private,
132,Emotive,30,18,7/7/2022,SMS Marketing,Los Angeles,dot.LA,Private,
133,Amount,Unclear,18,6/27/2022,FinTech,Chicago,TechCrunch,Private,
134,Ro,Unclear,18,6/23/2022,Health Care,New York,TechCrunch,Private,
135,Socure,104,19,1/5/2023,"cybsersecurity, predictive analytics","Incline Village, NV",Biometric Update,Private,
136,Postscript,43,19,6/26/2022,"Marketing Tech, SMS Marketing",San Francisco,Alex Beller,Private,
137,Qumolo,80,19,6/29/2022,Data storage,Seattle,GeekWire,Private,
138,OfferUp,Unclear,19,11/15/2022,"E-commerce, marketplace","Bellevue, WA",GeekWire,Private,
139,Change.org,Unclear,19,7/28/2022,CivicTech,San Francisco,Change.org,Private,
140,HomeLight,Unclear,19,6/29/2022,"Proptech, Real Estate",San Francisco,The Real Deal,Private,
141,Homeward,120,20,8/11/2022,"Real Estate, PropTech",Austin,The Real Deal,Private,
142,Turntide,130,20,7/28/2022,"CleanTech, energy","Sunnyvale, CA",Business Insider,Private,
143,Flyhomes,150,20,7/20/2022,"Real Estate, PropTech",Seattle,GeekWire,Private,
144,Curology,150,20,3/16/2022,E-commerce,San Francisco,SF Business Times,Private,
145,MasterClass,156,20,6/22/2022,Edtech,San Francisco,MasterClass CEO David Rogier,Private,
146,Lacework,200,20,5/26/2022,Cybersecurity,San Jose,The Information,Private,
147,Equitybee,25,20,10/31/2022,Fintech,San Francisco,Calcalistech,Private,
148,Airtable,254,20,12/8/2022,"Data science, enterprise",San Francisco,Airtable,Private,
149,Plaid,260,20,12/7/2022,Fintech,San Francisco,TechCrunch,Private,
150,Nate,30,20,8/30/2022,E-commerce,New York,The Information,Private,"Nate reportedly had two layoffs. In June, the company laid of 30 people, or 20% of the company at the time."
151,Coterie Insurance,30,20,5/27/2022,InsurTech,Cincinnati,CincyInno,Private,
152,Intrinsic,40,20,1/11/2023,"robotics, AI","Mountain View, CA",This Information,Private,
153,Rhino,57,20,2/3/2022,"PropTech, InsurTech",New York,The Real Deal,Private,
154,Flexport,640,20,1/11/2023,shipping and logistics,San Francisco,CNBC,Private,
155,Redesign Health,67,20,10/10/2022,health care,New York,Fast Company,Private,
156,Astronomer,76,20,1/4/2023,"Data analytics, cloud services",Cincinnati,Astronomer,Private,
157,Calm,90,20,8/11/2022,"personal health, wellness",San Francisco,Wall Street Journal,Private,
158,Shippo,Unclear,20,11/3/2022,Logistics,San Francisco,Shippo CEO,Private,
159,Brightline,Unclear,20,11/1/2022,Health care,"Palo Alto, CA",Behavioral Health Business,Private,
160,Scale,Unclear,20,1/9/2023,"AI, image recognition",San Francisco,Scale,Private,
161,OpenSea,Unclear,20,7/14/2022,"Crypto, NFT marketplace",New York,Devin Finzer,Private,
162,Buzzer,Unclear,20,6/20/2022,"Media, Sports",New York,Sportico,Private,
163,Greenlight,104,21,1/12/2023,"Fintech, banking",Atlanta,TechCrunch,Private,
164,Flipboard,24,21,10/16/2022,News,"Palo Alto, CA",Axios,Private,
165,Advata,32,21,10/28/2022,"health care, analytics","Bellevue, WA",GeekWire,Private,
166,Superhuman,23,22,6/3/2022,Email Software,San Francisco,CEO Rahul Vohra,Private,
167,Exodus,59,22,11/4/2022,"Cryptocurrency, blockchain","Nebraska City, NE",Exodus CEO,Private,
168,Tonkean,23,23,6/15/2022,Software,San Francisco,The Marker,Private,
169,Lokalise,76,23,11/16/2022,"Saas, APIs","Dover, DE",Lokalise founders,Private,
170,Karbon,Unclear,23,9/12/2022,"Productivity, task management",San Francisco,"Stuart McLeod, CEO of Karbon",Private,
171,Loom,57,24,10/20/2022,Enterprise Communication,San Francisco,SFGate,Private,
172,Cedar,Unclear,24,7/7/2022,Health Care,New York,Business Insider,Private,
173,Hyperscience,100,25,3/3/2022,AI,New York,The Information,Private,
174,Celsius,150,25,7/3/2022,Crypto,"Hoboken, New Jersey",CTech,Private,
175,Baton,16,25,6/29/2022,"Transporation, Logistics",San Francisco,Freight Waves,Private,
176,Policygenius,170,25,6/2/2022,InsurTech,New York,TechCrunch,Private,
177,IRL,25,25,6/2/2022,Social Media,San Francisco,TechCrunch,Private,
178,Vise,25,25,5/4/2022,Fintech,New York,CityWire,Private,
179,Section4,32,25,5/12/2022,Edtech,New York,TechCrunch,Private,
180,Capitolis,37,25,11/17/2022,Fintech,New York,Calcalistech,Private,
181,On Deck,72,25,5/5/2022,Business development,San Francisco,TechCrunch,Private,
182,Outschool,74,25,12/10/2022,EdTech,San Francisco,TechCrunch,Private,"Outschool laid off 31 people, or 18% of the company, back in July. In December it laid off another 43 people, which amounted to 25% of the staff at the time."
183,OneTrust,950,25,6/9/2022,Cybersecurity,Atlanta,OneTrust,Private,
184,OneStudyTeam,Unclear,25,12/6/2022,"health care, cloud infrastructure",Boston,Mobi Health News,Private,
185,Homeward,Unclear,25,11/16/2022,Proptech,"Austin, TX",Homeward,Private,
186,Medium,Unclear,25,9/6/2022,Publishing,San Francisco,"Lauren Newton, Head of People at Medium",Private,
187,SafeGraph,27,25,6/27/2022,"Artificial Intelligence, Machine Learning",San Francisco,SafeGraph,Private,
188,DataRobot,Unclear,26,8/23/2022,"AI, enterprise software",Boston,The Information,Private,
189,EquityZen,30,27,10/31/2022,Fintech,New York,Axios,Private,
190,Clear Capital,378,27,10/14/2022,PropTech,"Truckee, CA",TechCrunch,Private,
191,Shelf Engine,43,29,7/29/2022,"Food Tech, Software, Grocery Tech",Seattle,GeekWire,Private,
192,Veev,100,30,11/11/2022,PropTech,San Mateo,Calcalistech,Private,
193,Pacaso,100,30,10/11/2022,PropTech,San Francisco,Inman,Private,
194,Snappy,100,30,1/13/2023,"social impact, company benefits",New York,Calcalistech,Private,
195,Kraken,1100,30,11/30/2022,Cryptocurrency,San Francisco,Kraken,Private,
196,AtoB,32,30,10/19/2022,FinTech,San Francisco,SFGate,Private,
197,Genesis,60,30,1/5/2023,"Cryptocurrency, blockchain",New York,CNBC,Private,
198,Almanac,Unclear,30,8/13/2022,"Collaboration, productivity",San Francisco,LinkedIn,Private,
199,SuperRare,Unclear,30,1/6/2023,"Blockchain, cryptocurrency","Newark, DE",TechCrunch,Private,
200,Homie,162,32,10/4/2022,PropTech,"South Jordan, Utah","TechCrunch, Crunchbase News reporting",Private,
201,Socure,173,32,1/5/2023,Identity verification,Reno,Biometric Update,Private,
202,Bolt,250,33,5/25/2022,FinTech,San Francisco,Fortune,Private,
203,Candy Digital,33,33,11/28/2022,Cryptocurrency,New York,Decrypt,Private,
204,Ideoclick,40,33,5/4/2022,E-commerce,Seattle,Puget Sound Business Journal,Private,
205,Brave Care,40,33,9/6/2022,"Pediatrics, telehealth",Portland,The Oregonian,Private,
206,Tomo,44,33,5/31/2022,"FinTech, PropTech",Stamford,Business Insider,Private,
207,MainStreet,50,33,5/4/2022,Fintech,San Jose,Insider,Private,
208,Replicated,50,33,5/31/2022,Enterprise Software,Los Angeles,Replicated,Private,
209,Hologram,80,33,6/9/2022,IoT,Chicago,Crain's Chicago Business,Private,
210,Esper,Unclear,33,1/10/2023,DevOps,Seattle,GeekWire,Private,
211,TruePill,Unclear,33,9/30/2022,"pharmaceutical, health care","Hayward, CA",TechCrunch,Private,
212,Happy Money,158,34,11/30/2022,"Fintech, payments",Los Angeles,LinkedIn reports,Private,
213,Tonal,262,35,7/13/2022,Fitness,San Francisco,CNBC,Private,
214,Hydrow,70,35,7/21/2022,Fitness,Boston,Boston Globe,Private,
215,Callisto Media,Unclear,35,10/25/2022,Analytics,"Emeryville, California",Publishers Weekly,Private,
216,Lunchbox,Unclear,37,1/10/2023,"Restaurant Tech, Food Tech",New York,Business Insider,Private,
217,Fabric,120,40,7/13/2022,"E-commerce, Logistics",New York,TechCrunch,Private,
218,Rasa,59,40,4/4/2022,Artificial Intelligence,San Francisco,Business Insider,Private,"Rasa was founded in Berlin but moved its headquarters to San Francisco in 2019. Layoffs affected employees in the U.S., Germany, and U.K. Layoffs affected around 40% of employees."
219,NCX,Unclear,40,11/28/2022,"Renewable energy, forestry",San Francisco,NCX,Private,
220,Fundbox,150,42,10/25/2022,Fintech,San Francisco,Calcalistech,Private,
221,Zeus Living,64,46,10/20/2022,"Home decor, PropTech",San Francisco,San Francisco Business Journal,Private,
222,Knock,Unclear,46,3/15/2022,Proptech,New York,The Real Deal,Private,
223,Ocavu,20,48,11/10/2022,Cryptocurrency,"Lehi, UT",Salt Lake Tribune,Private,
224,Better.com,5000,50,4/19/2022,Fintech,New York,TechCrunch,Private,
225,Virgin Hyperloop,111,50,2/22/2022,Transporation,Los Angeles,Fortune,Private,
226,Notarize,170,50,10/31/2022,Legal Tech,Boston,Boston Business Journal,Private,
227,Iron Ox,50,50,11/2/2022,"AgTech, food and beverage",San Francisco,TechCrunch,Private,
228,BloomTech,88,50,12/1/2022,Edtech,San Francisco,TechCrunch,Private,
229,Medly Pharmacy,Unclear,50,9/7/2022,"Pharmacy, health care",New York,Crain's New York,Private,
230,Bizzabo,220,60,12/1/2022,Virtual Event,New York,Calcalistech,Private,
231,Parler,60,75,1/10/2023,Social media,"Nashville, TN",The Verge,Private,
232,Mojo Vision,Unclear,75,1/6/2023,"AR, health care","Saratoga, CA",TechCrunch,Private,
233,Uniphore,76,76,1/3/2023,"Artificial intelligence, machine learning","Palo Alto, CA",Outlook Start-Up,Private,
234,Butler Hospitality,1000,100,7/8/2022,Hospitality,New York,TechCrunch,Private,
235,SummerBio,101,100,6/20/2022,"Health Care, Diagnostics",Menlo Park,Bay Area Inno,Private,
236,Reali,140,100,8/24/2022,PropTech,"San Mateo, CA",Calcalistech,Private,
237,Fast,400,100,4/5/2022,Fintech,San Francisco,The Information,Private,
238,Protocol Media,60,100,11/15/2022,"News, media",San Francisco,CNN,Private,
239,WanderJaunt,85,100,7/1/2022,"PropTech, Real Estate",San Francisco,Short Term Rentalz,Private,
240,Wyre,Unclear,100,1/4/2023,"Cryptocurrency, blockchain",San Francisco,Blockworks,Private,
241,Lantern,Unclear,100,1/6/2023,"E-commerce, consumer lending","Grand Rapids, MI",Lantern CEO Meredith Mahoney,Private,
242,Lora DiCarlo Inc.,Unclear,100,12/2/2022,"Wellness, consumer goods","Bend, OR",TechCrunch,Private,
243,Bitfront,Unclear,100,11/29/2022,Cryptocurrency,"Palo Alto, CA",Reuters,Private,
244,Assure,Unclear,100,11/23/2022,Fintech,Salt Lake City,Axios,Private,
245,GloriFi,Unclear,100,11/21/2022,Fintech,Dallas,WSJ,Private,
246,Kite,Unclear,100,11/16/2022,"AI, coding",San Francisco,Kite,Private,
247,Wavely,Unclear,100,11/10/2022,"hiring, HR","Palo Alto, CA",Wavely,Private,
248,Fifth Season,Unclear,100,10/28/2022,Vertical farming,Pittsburgh,Pittsburgh Business Journal,Private,
249,Argo AI,Unclear,100,10/26/2022,Transportation,Pittsburgh,TechCrunch,Private,
250,CommonBond,Unclear,100,9/9/2022,"FinTech, loan repayments",New York,"David Klein, CEO of CommonBond",Private,
251,The Wing,Unclear,100,8/31/2022,Coworking,New York,The Information,Private,
252,Edmodo,Unclear,100,8/16/2022,Edtech,"San Mateo, CA",EdSurge,Private,
253,Haus,Unclear,100,8/8/2022,food and beverage,"Healdsburg, CA",TechCrunch,Private,
254,BlockFi,Unclear,100,11/28/2022,Crypto,Jersey City,Decrypt,Private,
255,Pesto,Unclear,100,9/23/2022,"IT, future of work",San Francisco,Pesto announcement,Private,
256,Kitty Hawk,Unclear,100,9/21/2022,aerospace,Mountain View,CNBC,Private,
257,Subspace,Unclear,100,5/13/2022,Media/entertainment,Los Angeles,LinkedIn,Private,
258,Halcyon Health,Unclear,100,4/15/2022,Health Care,New York,Axios,Private,
259,Ahead,Unclear,100,4/14/2022,Health Care,"Santa Clara, CA",Bloomberg,Private,
260,100 Thieves,12,Unclear,1/10/2023,"eSports, Media",Los Angeles,Dexerto,Private,"More than a dozen employees were reportedly laid off in July. In January, the company laid off more employees."
261,Orbit,14,Unclear,8/12/2022,Productivity software,San Francisco,Orbit CEO Patrick Woods,Private,Orbit CEO Patrick Woods announced at least 14 people have been laid off
262,Cybereason,100,Unclear,6/1/2022,Cybersecurity,Boston,CTech,Private,"Affected employees are in U.S., Israel, and Europe."
263,Progrexion,100,Unclear,6/7/2022,FinTech,Salt Lake City,Crunchbase News,Private,
264,Gem,100,Unclear,11/2/2022,Recruiting,San Francisco,Gem CEO,Private,
265,Glossier,104,Unclear,8/2/2022,Beauty,New York,Modern Retail,Private,
266,Stripe,1050,Unclear,11/3/2022,Fintech,San Francisco,Bloomberg,Private,
267,Curative,109,Unclear,9/20/2022,health diagnostics,Los Angeles,Digital Health,Private,
268,Noom,1095,Unclear,10/11/2022,Fitness/Digital Health,New York,TechCrunch,Private,
269,Homepoint,113,Unclear,11/17/2022,Proptech,"Greenville, SC",Phoenix Business Journal,Private,
270,Arc,13,Unclear,7/20/2022,HR Tech,Mountain View,LinkedIn,Private,
271,ChowNow,140,Unclear,12/14/2022,"Restaurant Tech, Food Tech","Playa Visa, California",Restaurant Business Online,Private,
272,Healthcare.com,149,Unclear,8/3/2022,Insurtech,"Miami, FL",Miami Inno,Private,
273,Finite State,16,Unclear,6/17/2022,Cybersecurity,Columbus,ColumbusInno,Private,
274,Rad Power Bikes,163,Unclear,7/21/2022,Transporation,Seattle,GeekWire,Private,"First round of layoffs was in April, second round in July."
275,Cameo,167,Unclear,5/4/2022,Media/entertainment,Chicago,The Information,Private,
276,Weedmaps,175,Unclear,12/6/2022,"Marijuana, marketing","Irvine, CA",Business Insider,Private,
277,Orchard,180,Unclear,11/17/2022,Proptech,New York,Inman,Private,
278,Clyde,19,Unclear,4/25/2022,E-commerce,New York,External Spreadsheet,Private,
279,AvantStay,224,Unclear,11/9/2022,Travel,Los Angeles,Skift,Private,
280,Booking.com,226,Unclear,11/1/2022,"Travel, hotels","Grand Rapids, MI",Crain's Detroit Business,Private,
281,Aspire,23,Unclear,7/15/2022,Marketing tech,San Francisco,Business Insider,Private,
282,Gopuff,2300,Unclear,10/21/2022,E-commerce,Philadelphia,"Bloomberg, The Information",Private,"First round of layoffs was in January, second round was in March, third round was in July, and the fourth round was in October."
283,Eaze,25,Unclear,6/2/2022,Cannabis,San Francisco,Business Insider,Private,
284,Nuro,310,Unclear,11/18/2022,Transportation,Mountain View,The Robot Report,Private,
285,Citizen,33,Unclear,1/11/2023,Surveillance,New York,TechCrunch,Private,
286,Balto,35,Unclear,12/12/2022,"Artificial intelligence, machine learning",St. Louis,St. Louis Business Journal,Private,
287,Hopin,370,Unclear,7/11/2022,Virtual Event,London,TechCrunch,Private,
288,Vial,40,Unclear,1/13/2023,"health care, clinical trials",San Francisco,Business Insider,Private,
289,Wistia,40,Unclear,11/10/2022,"Video production, marketing","Cambridge, MA",Wistia CEO,Private,
290,FreshDirect,40,Unclear,8/25/2022,"Food delivery, ecommerce","The Bronx, NY",Philadelphia Business Journal,Private,
291,Adwerx,40,Unclear,7/12/2022,Digital Marketing,"Durham, North Carolina",Inman,Private,
292,Community,40,Unclear,6/22/2022,Social Media,Los Angeles,Business Insider,Private,
293,Esme Learning,40,Unclear,6/2/2022,EdTech,"Newton, Massachusetts","Esme Learning, Crunchbase News reporting",Private,
294,Luxury Presence,44,Unclear,1/17/2023,"proptech, advertising","Santa Monica, CA",Inman,Private,
295,Hubilo,45,Unclear,7/12/2022,Virtual Events,San Francisco,Inc42,Private,
296,Olive,450,Unclear,7/19/2022,Health Care,Columbus,Olive,Private,
297,Imperfect Foods,50,Unclear,8/1/2022,"Grocery, e-commerce, delivery service",San Francisco,San Francisco Business Times,Private,
298,Tempo Automation,54,Unclear,8/17/2022,automotive,San Francisco,San Francisco Business Times,Private,
